Model,Make,Year,vehicle_age,Kilometres,BodyType,engine_displacement,cylinder_count,Transmission,Drivetrain,FuelType,City,Highway,avg_fuel_efficiency,Price,model_frequency,model_frequency_log
Optima,Kia,2019,6.0,127761.0,Sedan,2.4000000953674316,4.0,6 SPEED AUTOMATIC,Unknown,Gasoline,9.5,7.099999904632568,8.299999952316284,17698.0,29,3.4011973816621555
Forte,Kia,2018,7.0,84511.0,Sedan,2.0,3.5,6 SPEED AUTOMATIC,FWD,Gasoline,8.0,6.099999904632568,7.049999952316284,18990.0,83,4.430816798843313
Sportage,Kia,2014,11.0,100788.0,SUV,2.4000000953674316,4.0,6 SPEED AUTOMATIC,AWD,Gasoline,10.600000381469727,7.699999809265137,9.150000095367432,19988.0,70,4.2626798770413155
Sorento,Kia,2018,7.0,86000.0,SUV,2.5,6.0,AUTOMATIC,AWD,Gasoline,12.300000190734863,9.399999618530273,10.849999904632568,23000.0,96,4.574710978503383
Forte,Kia,2020,5.0,75488.0,Sedan,2.0,3.5,CVT,Unknown,Gasoline,7.900000095367432,5.900000095367432,6.900000095367432,23937.0,83,4.430816798843313
Rio,Kia,2023,2.0,20.0,Sedan,1.600000023841858,4.0,AUTOMATIC,FWD,Gasoline,7.199999809265137,6.099999904632568,6.6499998569488525,24845.0,31,3.4657359027997265
Soul,Kia,2023,2.0,50.0,Wagon,2.0,3.0,AUTOMATIC,FWD,Gasoline,8.5,7.0,7.75,31902.0,58,4.07753744390572
Soul,Kia,2023,2.0,150.0,Wagon,2.0,3.0,AUTOMATIC,FWD,Gasoline,8.5,7.0,7.75,32888.0,58,4.07753744390572
Seltos,Kia,2023,2.0,102.0,SUV,2.0,6.0,CVT,AWD,Gasoline,8.800000190734863,7.599999904632568,8.200000047683716,33595.0,37,3.6375861597263857
Seltos,Kia,2023,2.0,23.0,SUV,2.0,6.0,CVT,AWD,Gasoline,8.800000190734863,7.599999904632568,8.200000047683716,34982.0,37,3.6375861597263857
Sorento,Kia,2016,9.0,149338.0,SUV,2.5,6.0,AUTOMATIC,AWD,Gasoline,12.300000190734863,9.300000190734863,10.800000190734863,16990.0,96,4.574710978503383
Seltos,Kia,2023,2.0,50.0,SUV,2.0,6.0,AUTOMATIC,AWD,Gasoline,8.800000190734863,7.599999904632568,8.200000047683716,35252.0,37,3.6375861597263857
Sportage,Kia,2023,2.0,11206.0,SUV,2.4000000953674316,4.0,8 SPEED AUTOMATIC,AWD,Gasoline,10.399999618530273,8.5,9.449999809265137,35975.0,70,4.2626798770413155
Seltos,Kia,2023,2.0,104.0,SUV,1.600000023841858,6.0,AUTOMATIC,AWD,Gasoline,9.399999618530273,7.900000095367432,8.649999856948853,37082.0,37,3.6375861597263857
Sportage,Kia,2023,2.0,50.0,SUV,2.5,4.0,AUTOMATIC,AWD,Gasoline,10.399999618530273,8.5,9.449999809265137,37552.0,70,4.2626798770413155
Seltos,Kia,2023,2.0,50.0,SUV,1.600000023841858,6.0,AUTOMATIC,AWD,Gasoline,9.399999618530273,7.900000095367432,8.649999856948853,40652.0,37,3.6375861597263857
Sportage,Kia,2023,2.0,50.0,SUV,2.5,4.0,AUTOMATIC,AWD,Gasoline,10.399999618530273,8.5,9.449999809265137,41152.0,70,4.2626798770413155
Sportage,Kia,2023,2.0,50.0,SUV,2.5,4.0,AUTOMATIC,AWD,Gasoline,10.399999618530273,8.5,9.449999809265137,41402.0,70,4.2626798770413155
Carnival,Kia,2023,2.0,50.0,Minivan,3.5,6.0,AUTOMATIC,FWD,Gasoline,12.100000381469727,8.899999618530273,10.5,42552.0,16,2.833213344056216
Sportage,Kia,2023,2.0,50.0,SUV,2.5,4.0,AUTOMATIC,AWD,Gasoline,10.399999618530273,8.5,9.449999809265137,43102.0,70,4.2626798770413155
K5,Kia,2022,3.0,2025.0,Sedan,2.5,6.0,AUTOMATIC,FWD,Gasoline,9.899999618530273,7.300000190734863,8.599999904632568,43995.0,11,2.4849066497880004
Carnival,Kia,2023,2.0,50.0,Minivan,3.5,6.0,AUTOMATIC,FWD,Gasoline,12.100000381469727,8.899999618530273,10.5,46302.0,16,2.833213344056216
K5,Kia,2023,2.0,651.0,Sedan,1.600000023841858,6.0,AUTOMATIC,Unknown,Gasoline,9.899999618530273,7.300000190734863,8.599999904632568,47510.0,11,2.4849066497880004
Sportage,Kia,2023,2.0,50.0,SUV,2.5,4.0,AUTOMATIC,AWD,Gasoline,10.399999618530273,8.5,9.449999809265137,48602.0,70,4.2626798770413155
Sorento,Kia,2023,2.0,50.0,SUV,2.5,6.0,AUTOMATIC,AWD,Gasoline,10.899999618530273,8.699999809265137,9.799999713897705,49102.0,96,4.574710978503383
Stinger,Kia,2022,3.0,9600.0,Sedan,3.299999952316284,6.0,8 SPEED AUTOMATIC,Unknown,Gasoline,13.699999809265137,9.600000381469727,11.650000095367432,51747.0,18,2.9444389791664403
Carnival,Kia,2023,2.0,50.0,Minivan,3.5,6.0,AUTOMATIC,FWD,Gasoline,12.100000381469727,8.899999618530273,10.5,56352.0,16,2.833213344056216
Stinger,Kia,2023,2.0,50.0,Hatchback,3.299999952316284,6.0,AUTOMATIC,Unknown,Gasoline,13.699999809265137,9.600000381469727,11.650000095367432,61502.0,18,2.9444389791664403
Sorento,Kia,2022,3.0,8891.0,SUV,1.600000023841858,6.0,AUTOMATIC,AWD,Gasoline,6.699999809265137,7.099999904632568,6.8999998569488525,68995.0,96,4.574710978503383
Sorento,Kia,2022,3.0,3230.0,SUV,1.600000023841858,6.0,AUTOMATIC,AWD,Gasoline,6.699999809265137,7.099999904632568,6.8999998569488525,72995.0,96,4.574710978503383
Soul,Kia,2010,15.0,222000.0,Wagon,2.0,3.0,AUTOMATIC,FWD,Gasoline,8.5,6.5,7.5,5495.0,58,4.07753744390572
Sportage,Kia,2012,13.0,216661.0,SUV,2.4000000953674316,4.0,AUTOMATIC,AWD,Gasoline,9.899999618530273,7.0,8.449999809265137,9380.0,70,4.2626798770413155
Soul,Kia,2014,11.0,139852.0,Sedan,2.0,3.0,AUTOMATIC,FWD,Gasoline,8.100000381469727,6.5,7.300000190734863,11980.0,58,4.07753744390572
Sportage,Kia,2017,8.0,200000.0,Hatchback,2.4000000953674316,4.0,AUTOMATIC,AWD,Gasoline,10.800000190734863,9.100000381469727,9.950000286102295,17195.0,70,4.2626798770413155
Rio,Kia,2019,6.0,123758.0,Sedan,1.600000023841858,4.0,AUTOMATIC,FWD,Gasoline,8.300000190734863,6.400000095367432,7.3500001430511475,17388.0,31,3.4657359027997265
Soul,Kia,2020,5.0,122615.0,Hatchback,2.0,3.0,CVT,FWD,Gasoline,8.600000381469727,7.099999904632568,7.8500001430511475,21699.0,58,4.07753744390572
Sportage,Kia,2017,8.0,128680.0,SUV,2.4000000953674316,4.0,AUTOMATIC,AWD,Gasoline,11.300000190734863,9.5,10.400000095367432,23995.0,70,4.2626798770413155
EV6,Kia,2022,3.0,17006.0,Wagon,2.5,6.0,1 SPEED AUTOMATIC,AWD,Electric,11.100000381469727,8.399999618530273,9.75,75000.0,1,0.6931471805599453
Rio,Kia,2012,13.0,154006.0,Sedan,1.600000023841858,4.0,AUTOMATIC,FWD,REGULAR UNLEADED,8.100000381469727,6.400000095367432,7.250000238418579,8448.0,31,3.4657359027997265
Forte,Kia,2015,10.0,134997.0,Sedan,2.0,3.5,6 SPEED MANUAL,FWD,Gasoline,9.699999809265137,6.699999809265137,8.199999809265137,9588.0,83,4.430816798843313
Sorento,Kia,2016,9.0,28760.0,SUV,2.5,6.0,AUTOMATIC,AWD,REGULAR UNLEADED,13.399999618530273,9.399999618530273,11.399999618530273,27999.0,96,4.574710978503383
Sedona,Kia,2014,11.0,199500.0,Minivan,3.299999952316284,6.0,6 SPEED AUTOMATIC,FWD,Gasoline,12.199999809265137,8.399999618530273,10.299999713897705,9999.0,9,2.302585092994046
Sorento,Kia,2015,10.0,151808.0,SUV,2.5,6.0,AUTOMATIC,AWD,Gasoline,13.100000381469727,9.399999618530273,11.25,14990.0,96,4.574710978503383
Sorento,Kia,2016,9.0,134954.0,SUV,2.5,6.0,AUTOMATIC,AWD,Gasoline,13.399999618530273,9.399999618530273,11.399999618530273,16500.0,96,4.574710978503383
Sorento,Kia,2016,9.0,147600.0,SUV,2.5,6.0,6 SPEED AUTOMATIC,AWD,Gasoline,12.300000190734863,9.300000190734863,10.800000190734863,16695.0,96,4.574710978503383
Sportage,Kia,2017,8.0,111380.0,SUV,2.4000000953674316,4.0,AUTOMATIC,AWD,Gasoline,11.300000190734863,9.5,10.400000095367432,17998.0,70,4.2626798770413155
Sportage,Kia,2016,9.0,44319.0,SUV,2.4000000953674316,4.0,6 SPEED AUTOMATIC,FWD,Gasoline,11.199999809265137,8.399999618530273,9.799999713897705,19800.0,70,4.2626798770413155
Forte,Kia,2019,6.0,76195.0,Sedan,2.0,3.5,AUTOMATIC,FWD,Gasoline,7.699999809265137,5.900000095367432,6.799999952316284,19998.0,83,4.430816798843313
Soul,Kia,2019,6.0,50000.0,Hatchback,2.0,3.0,6 SPEED AUTOMATIC,FWD,Gasoline,9.5,7.800000190734863,8.650000095367432,20980.0,58,4.07753744390572
Soul,Kia,2018,7.0,44050.0,Hatchback,2.0,3.0,6 SPEED AUTOMATIC,FWD,Gasoline,9.5,7.800000190734863,8.650000095367432,20995.0,58,4.07753744390572
Forte,Kia,2021,4.0,63745.0,Sedan,2.0,3.5,CVT,FWD,Gasoline,7.800000190734863,5.900000095367432,6.8500001430511475,21780.0,83,4.430816798843313
Sportage,Kia,2020,5.0,101839.0,SUV,2.4000000953674316,4.0,AUTOMATIC,AWD,Gasoline,10.800000190734863,9.100000381469727,9.950000286102295,22298.0,70,4.2626798770413155
Forte,Kia,2020,5.0,54838.0,Sedan,2.0,3.5,AUTOMATIC,FWD,Gasoline,7.900000095367432,5.900000095367432,6.900000095367432,22598.0,83,4.430816798843313
Sorento,Kia,2019,6.0,104600.0,SUV,2.5,6.0,6 SPEED AUTOMATIC,AWD,Gasoline,11.199999809265137,9.0,10.099999904632568,22995.0,96,4.574710978503383
Forte,Kia,2020,5.0,30143.0,Sedan,2.0,3.5,CVT,FWD,Gasoline,7.900000095367432,5.900000095367432,6.900000095367432,22999.0,83,4.430816798843313
